name,Background_rarity,Fur_rarity,Mouth_rarity,Eyes_rarity,Clothes_rarity,Eyewear_rarity,Hat_rarity,min_rarity,max_rarity,mean_rarity,factoral_rarity,rarity_rank
Okay Bear #247,0.1222,0.0196,0.1231,0.094,0.1965,0.0211,0.0191,0.0191,0.1965,0.08508571428571429,182.80393333483457,3262
Okay Bear #1243,0.1252,0.0426,0.1231,0.1309,0.0161,0.0374,0.0214,0.0161,0.1309,0.07095714285714284,182.8030362225478,3263
Okay Bear #4593,0.1265,0.0276,0.0528,0.0788,0.0157,0.6672,0.0239,0.0157,0.6672,0.1417857142857143,182.80084432649176,3264
Okay Bear #377,0.1265,0.0377,0.0151,0.0788,0.0383,0.6672,0.0239,0.0151,0.6672,0.14107142857142857,182.79532388952168,3265
Okay Bear #9848,0.126,0.039,0.0271,0.0454,0.0155,0.6672,0.0412,0.0155,0.6672,0.13734285714285716,182.79110895097014,3266
Okay Bear #9523,0.126,0.0495,0.0528,0.2023,0.009,0.6672,0.0551,0.009,0.6672,0.16598571428571426,182.77980820702564,3267
Okay Bear #4712,0.1187,0.0259,0.0344,0.1309,0.0229,0.0269,0.0551,0.0229,0.1309,0.05925714285714284,182.73548907454457,3268
Okay Bear #9554,0.1227,0.0276,0.0151,0.0454,0.1965,0.6672,0.023,0.0151,0.6672,0.15678571428571428,182.6995609421212,3269
Okay Bear #3519,0.1187,0.0606,0.0098,0.094,0.0251,0.6672,0.2698,0.0098,0.6672,0.17788571428571429,182.65125182647304,3270
Okay Bear #6568,0.126,0.1268,0.0095,0.0507,0.0273,0.6672,0.2698,0.0095,0.6672,0.1824714285714286,182.64525385110204,3271
