,Unnamed: 0,name,Background,Body,Eyes,Face,Hat,Outfit,trait_0_rarity,trait_2_rarity,trait_3_rarity,trait_4_rarity,trait_5_rarity,trait_1_rarity,rarity_rank,overall_rarity,min_rarity,mean_rarity,trait_n,mint,pred_SOL
7739,7739,Trippin' Ape Tribe #213,Magenta Swirl,Marble,Alert Blue,Balloon Blue,Paisley Cowboy,I _3 Chorles,2.74,10.78,8.27,2.76,5.8500000000000005,9.71,7740,3.829649352833305e-08,2.74,6.685,6,JAE2topYuAKy8j9FSBD7ssmyJxzoNstwZv3z6YdkZ1aZ,18.28751
7255,7255,Trippin' Ape Tribe #3439,Lava Green,Blue Tryptamine,Alert Blue,Fangs,Fedora,Brown Robe,2.68,10.68,8.27,5.67,6.45,3.44,7256,2.9779182573598082e-08,2.68,6.198333333333332,6,DRvFQK5A3a18aqyd9C11HsDepk8FujEJXG1mT9zCijD1,18.287474
7516,7516,Trippin' Ape Tribe #632,Cotton Candy,Drippy Blue,Blue Shades,J,White Bucket,Groovy Green,4.73,7.99,7.13,2.64,7.46,6.4,7517,3.3964105265756166e-08,2.64,6.058333333333334,6,DE4Y7o61WpWHBSYaJUt9nN4wYMqENRFcLGAfWNBkrZBC,18.2872
8240,8240,Trippin' Ape Tribe #6378,Dark Shroom,Purple Tryptamine,420 Glasses,Shout,White Bucket,Tribal,2.48,10.91,5.36,7.91,7.46,5.87,8241,5.0233638200023934e-08,2.48,6.665,6,GDpeBGy8sMFNj2wjfqkT2ps1y9qKW1YjjtaZoUUgBooC,18.287159
7968,7968,Trippin' Ape Tribe #3314,Cotton Candy,Swirls,Spaced Out,Pipe,Beanie,White Robe,4.73,7.26,7.1099999999999985,5.79,8.93,3.39,7969,4.279539930941148e-08,3.39,6.201666666666667,6,2WnEL5n1Qk5bQ1GkvgfbESa7oA2eGDxrjiPu96VprNWd,18.286922
6942,6942,Trippin' Ape Tribe #9785,Lime,Drippy Blue,420 Glasses,Balloon Purple,Headband,Tux Shirt,6.16,7.99,5.36,2.86,6.619999999999999,5.15,6943,2.572311342753152e-08,2.86,5.69,6,AVWTovAX9pqzFjkr1LBTb4MXnc3DJTkyTuNDdyQivC95,18.286917
9920,9920,Trippin' Ape Tribe #9556,Lime,Purple Tryptamine,Spaced Out,Cig,Cap,I _3 Chorles,6.16,10.91,7.1099999999999985,6.21,7.55,9.71,9921,2.175368548440503e-07,6.16,7.941666666666667,6,J8uuJunjTEGtFC47Bcj3JMngHfRkFFcXkSHYfVthntGR,18.286427
6707,6707,Trippin' Ape Tribe #1446,Magenta Swirl,Drippy Pink,Wired,Pipe,Fedora,Suspenders,2.74,8.06,7.17,5.79,6.45,3.89,6708,2.3003432238826263e-08,2.74,5.683333333333334,6,ARYBkNATD5TQMn1VbV1MdBoaqR8caaLoEVuHdDSYf6Ab,18.286404
4190,4190,Trippin' Ape Tribe #3717,Watercolor,Infrared Trypophobia,Spaced Out,Balloon Blue,Field Hat,Purple Tank,4.47,3.39,7.1099999999999985,2.76,4.69,5.7700000000000005,4191,8.047010351620042e-09,2.76,4.698333333333333,6,EHTAXWB4tu2qo46GgXpmHPPJyNmQxY2xYL5vi8kstFNL,18.285242
9143,9143,Trippin' Ape Tribe #9185,Purple,Blue Tryptamine,Blue Shades,Eyeball,Cap,Birthday Suit,6.260000000000002,10.68,7.13,7.689999999999999,7.55,3.24,9144,8.967128997561551e-08,3.24,7.091666666666666,6,FSMBRGPDbK48Tqy8EC7MwunFqJEtvLhMA26LkYLcK5KX,18.285164
8212,8212,Trippin' Ape Tribe #9046,Purple,Marble,Rainbow Shades,Gold Grill,White Bucket,Birthday Suit,6.260000000000002,10.78,5.09,5.94,7.46,3.24,8213,4.9315240912335553e-08,3.24,6.461666666666668,6,EAStdsRhzn7HeXkiQueE5jR3BZnHMVjHRNc8ScM9FKg1,18.28508
7798,7798,Trippin' Ape Tribe #6906,Lilac,Purple Paranoia,Spaced Out,Fangs,Headband,Purple Tank,6.43,3.98,7.1099999999999985,5.67,6.619999999999999,5.7700000000000005,7799,3.940764726881833e-08,3.98,5.93,6,7r1oPXJsRz1JgbifiYjMtDUbZ86fxeRfD1HDhZaR87Mf,18.285067
4628,4628,Trippin' Ape Tribe #5763,Purple Swirl,Blue Tryptamine,Pop Out,Snarl,Paisley Cowboy,Hoodie,2.39,10.68,2.36,7.93,5.8500000000000005,3.44,4629,9.61321493680704e-09,2.36,5.441666666666666,6,35LQSwiexzjKoPhfS2dHXVaKtoVNUJXwGxhYSvYQN7Yf,18.28503
9700,9700,Trippin' Ape Tribe #9863,Cloudy Orange,Marble,Sus,Quiet,White Bucket,TyeDye,4.46,10.78,7.5,9.86,7.46,5.6099999999999985,9701,1.4879676408735599e-07,4.46,7.611666666666667,6,Cnsu4cZ5LDG7F1M3HQKSRzhjFxHbdDVjAvrQ14wMY6pq,18.28456
